p_theta	p_rho	p_npop	p_ej_time_pop_2_1	p_init_size_pop_0	s_segs_1	s_segs_2	s_segs	s_pi_1	s_pi_2	s_theta_pi	s_theta_w_1	s_theta_w_2	s_theta_w	s_tajimasD_1	s_tajimasD_2	s_tajimasD	s_ZnS_1	s_ZnS_2	s_ZnS	s_fst	s_perc_shared_1_2	s_perc_private_1_2	s_perc_fixed_dif_1_2	s_pairwise_fst_1_2	s_FayWuH_1	s_FayWuH_2	s_FayWuH	s_dvk_1	s_dvh_1	s_dvk_2	s_dvh_2	s_dvk	s_dvh	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	1.000000e+01	7.000000e+00	36	3.733333e+00	3.133333e+00	1.492424e+01	4.379562e+00	3.065693e+00	1.192101e+01	-8.862229e-01	1.284072e-01	1.142703e+00	1.926667e-01	3.014286e-01	4.093662e-01	7.541766e-01	0.000000e+00	4.722222e-01	5.277778e-01	7.541766e-01	-4.703494e+00	-1.771698e+01	4.512134e-01	5.000000e+00	7.777778e-01	5.000000e+00	7.777778e-01	1.000000e+01	8.888889e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	2.200000e+01	1.000000e+01	47	1.033333e+01	4.266667e+00	1.795455e+01	9.635036e+00	4.379562e+00	1.556355e+01	4.544867e-01	-1.548221e-01	7.036947e-01	2.396272e-01	3.235556e-01	2.768468e-01	5.722656e-01	0.000000e+00	6.808511e-01	3.191489e-01	5.722656e-01	-3.051241e+00	-8.124216e+00	7.481796e-01	6.000000e+00	8.333333e-01	5.000000e+00	7.777778e-01	1.100000e+01	9.027778e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	1.100000e+01	1.300000e+01	47	5.133333e+00	5.200000e+00	1.880303e+01	4.817518e+00	5.693431e+00	1.556355e+01	3.964708e-01	-5.298761e-01	9.534122e-01	3.156364e-01	2.200000e-01	3.590039e-01	7.075472e-01	0.000000e+00	5.106383e-01	4.893617e-01	7.075472e-01	-8.800434e+00	-9.034154e+00	5.295335e-01	4.000000e+00	7.222222e-01	6.000000e+00	8.333333e-01	1.000000e+01	8.888889e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	2.100000e+01	1.000000e+01	47	9.066667e+00	4.600000e+00	1.737879e+01	9.197080e+00	4.379562e+00	1.556355e+01	-8.876298e-02	3.023034e-01	5.342436e-01	3.303810e-01	3.010556e-01	2.705212e-01	5.858586e-01	0.000000e+00	6.595745e-01	3.404255e-01	5.858586e-01	-2.953168e+00	-8.658704e+00	7.003508e-01	6.000000e+00	8.333333e-01	5.000000e+00	7.777778e-01	1.100000e+01	9.027778e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	3.700000e+01	1.100000e+01	66	1.586667e+01	4.266667e+00	2.451515e+01	1.620438e+01	4.817518e+00	2.185519e+01	-1.327295e-01	-6.915330e-01	5.627562e-01	2.511178e-01	2.025455e-01	2.570455e-01	5.681602e-01	1.515152e-02	6.969697e-01	2.878788e-01	5.681602e-01	-1.457928e+00	-1.611765e+01	4.704312e-01	6.000000e+00	8.333333e-01	6.000000e+00	8.333333e-01	1.200000e+01	9.166667e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	1.800000e+01	1.100000e+01	40	7.800000e+00	4.733333e+00	1.339394e+01	7.883212e+00	4.817518e+00	1.324557e+01	-6.564771e-02	-1.056848e-01	5.101956e-02	2.142157e-01	2.876818e-01	1.982622e-01	5.104167e-01	0.000000e+00	7.250000e-01	2.750000e-01	5.104167e-01	-1.951852e+00	-4.944064e+00	7.468765e-01	6.000000e+00	8.333333e-01	5.000000e+00	7.777778e-01	1.100000e+01	9.027778e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	2.400000e+01	1.200000e+01	52	1.106667e+01	4.666667e+00	1.884848e+01	1.051095e+01	5.255474e+00	1.721924e+01	3.325913e-01	-6.815654e-01	4.347519e-01	2.909984e-01	4.266667e-01	2.660511e-01	5.613383e-01	0.000000e+00	6.923077e-01	3.076923e-01	5.613383e-01	-2.923110e+00	-1.168471e+01	9.938573e-02	6.000000e+00	8.333333e-01	4.000000e+00	7.222222e-01	1.000000e+01	8.888889e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	2.400000e+01	1.700000e+01	54	1.200000e+01	8.466667e+00	1.965152e+01	1.051095e+01	7.445255e+00	1.788152e+01	8.911815e-01	8.509591e-01	4.553144e-01	3.632367e-01	4.438971e-01	2.370972e-01	4.575972e-01	0.000000e+00	7.592593e-01	2.407407e-01	4.575972e-01	-2.267930e+00	-4.992276e+00	6.323383e-01	5.000000e+00	7.777778e-01	5.000000e+00	7.777778e-01	1.000000e+01	8.888889e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	2.000000e+01	1.200000e+01	54	8.600000e+00	5.866667e+00	2.137879e+01	8.759124e+00	5.255474e+00	1.788152e+01	-1.134969e-01	7.074761e-01	8.996391e-01	2.962105e-01	3.939394e-01	3.264592e-01	6.419142e-01	0.000000e+00	5.925926e-01	4.074074e-01	6.419142e-01	-7.472097e+00	-7.268442e+00	4.705077e-01	5.000000e+00	7.777778e-01	5.000000e+00	7.777778e-01	1.000000e+01	8.888889e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	2.300000e+01	1.400000e+01	68	9.066667e+00	6.600000e+00	2.892424e+01	1.007299e+01	6.131387e+00	2.251747e+01	-6.275167e-01	4.693113e-01	1.316497e+00	4.215810e-01	4.382418e-01	4.122876e-01	7.116564e-01	0.000000e+00	5.441176e-01	4.558824e-01	7.116564e-01	-6.021659e+00	-1.527336e+01	5.365966e-01	5.000000e+00	7.777778e-01	5.000000e+00	7.777778e-01	1.000000e+01	8.888889e-01	
