p_theta	p_rho	p_pop_change_time	p_pop_change_newpop	s_segs	s_theta_pi	s_theta_w	s_tajimasD	s_ZnS	s_FayWuH	s_dvk	s_dvh	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	6	1.378788e+00	1.986836e+00	-1.167148e+00	1.482094e-01	1.984102e-02	6.000000e+00	6.250000e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	7	2.409091e+00	2.317975e+00	1.538256e-01	1.730505e-01	7.951783e-01	5.000000e+00	7.500000e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	4	1.363636e+00	1.324557e+00	1.037654e-01	9.039256e-02	4.776046e-01	6.000000e+00	7.777778e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	5	1.742424e+00	1.655696e+00	1.930938e-01	1.117273e-01	8.387088e-01	6.000000e+00	7.916667e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	10	3.060606e+00	3.311393e+00	-3.115756e-01	1.818444e-01	4.543779e-01	6.000000e+00	7.777778e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	8	1.712121e+00	2.649114e+00	-1.412436e+00	7.859111e-02	-2.072875e-01	8.000000e+00	8.194444e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	9	2.863636e+00	2.980253e+00	-1.588305e-01	2.513774e-01	4.361119e-02	6.000000e+00	7.361111e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	7	2.257576e+00	2.317975e+00	-1.019683e-01	1.733910e-01	8.305195e-01	7.000000e+00	7.916667e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	6	1.318182e+00	1.986836e+00	-1.283481e+00	2.462810e-01	1.785692e-01	5.000000e+00	6.666667e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	8	3.075758e+00	2.649114e+00	6.431278e-01	2.214482e-01	-4.943010e-01	6.000000e+00	7.777778e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	14	2.984848e+00	4.635950e+00	-1.519495e+00	1.958999e-01	-1.316529e-01	9.000000e+00	8.333333e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	9	3.318182e+00	2.980253e+00	4.602524e-01	2.590038e-01	4.797230e-01	5.000000e+00	7.361111e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	5	1.212121e+00	1.655696e+00	-9.875904e-01	2.369146e-02	7.253697e-01	6.000000e+00	7.777778e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	9	3.636364e+00	2.980253e+00	8.936104e-01	1.785907e-01	6.977790e-01	1.000000e+01	8.888889e-01	
