p_theta	p_rho	p_pop_change_time	p_pop_change_newpop	s_average_segs	s_variance_segs	s_average_pi	s_variance_pi	s_average_w	s_variance_w	s_average_tajd	s_variance_tajd	s_average_ZnS	s_variance_ZnS	s_average_FayWuH	s_variance_FayWuH	s_average_dvk	s_variance_dvk	s_average_dvh	s_variance_dvh	s_average_thomson_est	s_variance_thomson_est	s_average_thomson_var	s_variance_thomson_var	
1.000000e+01	1.441996e+01	1.789384e-02	4.308277e-01	6.125000e+01	1.256917e+03	1.942045e+01	1.499624e+02	2.028228e+01	1.378250e+02	-4.770951e-01	4.987515e-01	1.427528e-01	1.542968e-04	1.796643e-01	6.656477e-02	1.075000e+01	6.250000e+00	8.784722e-01	5.835262e-03	1.689583e+01	1.078119e+02	7.994792e+00	2.388707e+01	
1.000000e+01	1.501771e+01	2.554524e-02	3.126994e-01	4.675000e+01	6.049167e+02	1.452652e+01	6.175029e+01	1.548076e+01	6.633106e+01	-2.967995e-01	9.254410e-02	1.430456e-01	1.071887e-03	-1.473437e-02	7.790759e-02	1.050000e+01	5.666667e+00	8.888889e-01	2.186214e-03	1.339583e+01	5.064062e+01	6.737847e+00	1.330123e+01	
1.000000e+01	1.119540e+01	3.610770e-02	4.694252e-01	6.200000e+01	1.085333e+03	2.075000e+01	8.797436e+01	2.053064e+01	1.190103e+02	3.379010e-01	5.691655e-01	1.990907e-01	7.625875e-03	2.664663e-01	1.015482e-01	9.500000e+00	4.333333e+00	8.680556e-01	1.736111e-03	1.783333e+01	7.185648e+01	8.322917e+00	1.904400e+01	
1.000000e+01	1.757704e+01	2.399918e-02	3.202247e-01	4.475000e+01	5.549167e+02	1.427652e+01	6.509280e+01	1.481848e+01	6.084840e+01	-2.065253e-01	1.034798e-01	1.469122e-01	1.605811e-04	-1.844373e-01	3.147084e-01	1.050000e+01	1.666667e+00	8.958333e-01	3.215021e-04	1.306250e+01	4.023785e+01	6.519097e+00	7.170247e+00	
1.000000e+01	1.624028e+01	2.758892e-02	3.031033e-01	4.500000e+01	6.566667e+02	1.278788e+01	5.080456e+01	1.490127e+01	7.200561e+01	-5.236732e-01	1.736209e-01	1.352829e-01	4.125931e-05	3.444852e-01	3.270385e-01	1.050000e+01	1.666667e+00	8.958333e-01	3.215021e-04	1.083333e+01	4.689352e+01	4.972222e+00	1.478900e+01	
1.000000e+01	1.792248e+01	3.287839e-02	4.546038e-01	6.675000e+01	8.162500e+02	2.137879e+01	6.581650e+01	2.210355e+01	8.950444e+01	2.456707e-02	5.203250e-01	1.737125e-01	6.227948e-03	6.918305e-02	6.325858e-02	1.050000e+01	3.666667e+00	8.888889e-01	1.157407e-03	1.908333e+01	6.183796e+01	9.284722e+00	1.872033e+01	
1.000000e+01	1.143937e+01	2.933591e-02	4.262770e-01	4.700000e+01	5.513333e+02	1.463636e+01	5.383027e+01	1.556355e+01	6.045548e+01	-1.873150e-01	2.758447e-01	1.356107e-01	6.197069e-04	-1.612303e-01	5.933537e-01	1.100000e+01	2.000000e+00	8.993056e-01	6.912294e-04	1.312500e+01	3.540046e+01	6.416667e+00	8.276460e+00	
1.000000e+01	1.008652e+01	3.263571e-02	4.123968e-01	5.475000e+01	1.099583e+03	1.669697e+01	1.096237e+02	1.812988e+01	1.205729e+02	-4.987527e-01	9.814724e-02	1.529609e-01	6.887552e-04	4.081870e-01	9.704022e-02	1.000000e+01	8.000000e+00	8.611111e-01	7.330247e-03	1.370833e+01	7.936343e+01	6.055556e+00	1.816130e+01	
1.000000e+01	1.677574e+01	3.321352e-02	4.658463e-01	7.125000e+01	1.762917e+03	2.204167e+01	2.133282e+02	2.359367e+01	1.933095e+02	-6.353883e-01	8.047258e-01	1.142856e-01	1.253751e-03	3.733299e-01	6.703723e-02	1.150000e+01	1.000000e+00	9.097222e-01	1.929012e-04	1.806250e+01	1.422980e+02	7.960069e+00	2.926194e+01	
1.000000e+01	1.337377e+01	2.198284e-02	4.082103e-01	4.650000e+01	6.323333e+02	1.440530e+01	6.168953e+01	1.539798e+01	6.933739e+01	-3.565971e-01	1.940767e-01	1.574905e-01	9.126926e-04	1.706108e-02	6.446360e-01	1.075000e+01	3.583333e+00	8.958333e-01	1.093107e-03	1.402083e+01	8.180729e+01	7.418403e+00	3.423079e+01	
